emailid,reading,dictation,match,comprehension,fill,count,currency,order,arithmetic,compare,questionnaire,result
a@gmail.com,8,8,5,4,4,4,2,2,18,10,10
alga@gmail.com,7,8,5,4,4,4,2,2,18,10,10
alka@gmail.com,9,8,5,4,4,4,2,2,18,10,10
Hanline@gmail.com,10,8,5,4,4,4,2,2,18,10,10
e@gmail.com,10,8,5,4,4,4,2,2,18,10,10
adheena@gmail.com,10,8,5,4,4,4,2,2,18,10,10
alfiya@gmail.com,10,8,5,4,4,4,2,2,18,10,10
ali@gmail.com,7,8,5,4,4,4,2,2,18,10,10
zara@gmail.com,3,8,5,4,4,4,2,2,18,10,10
minnu@gmail.com,2,8,5,4,4,4,2,2,18,10,10
clare@gmail.com,7,8,5,4,4,4,2,2,18,10,10
sreya@gmail.com,4,8,5,4,4,4,2,2,18,10,10
m@gmail.com,8,8,5,4,4,4,2,2,18,10,10
